Name,BSE Code,NSE Code,ISIN Code,Sector,Industry Group,Industry
Aeroflex Neu,543743,AERONEU,INE035801013,Industrials,Industrial Products,Packaging
Aeron Composites,,AERON,INE0WL801011,Industrials,Industrial Products,Other Industrial Products
Aerpace Indus,534733,,INE175N01023,Industrials,Industrial Products,Iron & Steel Products
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction & Infrastructure,Construction,Civil Construction
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Afcom Holdings,544224,,INE0OXY01013,Industrials,Transport Services,Logistics Solution Provider
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction & Infrastructure,Construction,Civil Construction
Affle 3i,542752,AFFLE,INE00WC01027,Information Technology,IT - Services,IT Enabled Services
Affordable Robo.,541402,AFFORDABLE,INE692Z01013,Industrials,Industrial Manufacturing,Industrial Products
AG Ventures,506579,,INE321D01016,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Agarwal Float,,AGARWALFT,INE0MLA01012,Industrials,Industrial Products,Glass - Industrial
Agarwal Fortune,530765,,INE510B01018,Industrials,Industrial Products,Glass - Industrial
Agarwal Indl.,531921,AGARIND,INE204E01012,Chemicals,Chemicals & Petrochemicals,Petrochemicals
Agarwal Toughene,,AGARWALTUF,INE0P8X01016,Industrials,Industrial Products,Glass - Industrial
AGI Greenpac,500187,AGI,INE415A01038,Industrials,Industrial Products,Packaging
AGI Infra,539042,AGIIL,INE976R01033,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Agio Paper,516020,,INE112C01011,Materials,"Paper, Forest & Jute Products",Paper & Paper Products
Agni Green,,AGNI,INE0LF301013,Construction & Infrastructure,Construction,Civil Construction
Agri-Tech India,537292,AGRITECH,INE449G01018,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
Agribio Spirits,539546,,INE679E01015,FMCG (Consumer Staples),Beverages,Breweries & Distilleries
Agro Phos India,,AGROPHOS,INE740V01019,Chemicals,Fertilizers & Agrochemicals,Fertilizers
AGS Transact,543451,AGSTRA,INE583L01014,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
Ahasolar Technol,543941,,INE0NEV01011,Consumer Durables & Retail,Retailing,E-Retail/ E-Commerce
Ahimsa Industrie,,AHIMSA,INE136T01014,Industrials,Industrial Products,Plastic Products - Industrial
Ahlada Engineers,,AHLADA,INE00PV01013,Consumer Durables & Retail,Consumer Durables,"Furniture, Home Furnishing"
Ahluwalia Contr.,532811,AHLUCONT,INE758C01029,Construction & Infrastructure,Construction,Civil Construction
Ahm. Steelcraft,522273,,INE868C01018,Industrials,Industrial Products,Iron & Steel Products
AI Champ.Inds.,532806,,INE768E01024,Materials,"Paper, Forest & Jute Products",Jute & Jute Products
AIA Engineering,532683,AIAENG,INE212H01026,Industrials,Industrial Products,Castings & Forgings
Aik Pipes & Poly,544072,,INE0QFT01015,Industrials,Industrial Products,Plastic Products - Industrial
Aimco Pesticides,524288,,INE008B01013,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Aimtron,,AIMTRON,INE0RUV01018,Industrials,Industrial Manufacturing,Industrial Products
Aion-Tech Soluti,531439,GOLDTECH,INE805A01014,Information Technology,IT - Software,Software Products
Airan,543811,AIRAN,INE645W01026,Information Technology,IT - Services,IT Enabled Services
Airfloa Rail,544516,,INE0XBS01012,Industrials,Industrial Manufacturing,Industrial Products
Airo Lam,,AIROLAM,INE801L01010,Consumer Durables & Retail,Consumer Durables,Plywood Boards/ Laminates
Ajanta Pharma,532331,AJANTPHARM,INE031B01049,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Ajanta Soya,519216,,INE601B01023,FMCG (Consumer Staples),Agricultural Food & other Products,Edible Oil
Ajax Engineering,544356,AJAXENGG,INE274Y01021,Automobile,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
AJC Jewel,544425,,INE0XRR01010,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Ajcon Global,511692,,INE759C01027,Financial Services,Finance,Other Financial Services
Ajmera Realty,513349,AJMERA,INE298G01035,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Ajooni Biotech,,AJOONI,INE820Y01021,FMCG / Consumer Staples,Food Products,Animal Feed
Ajwa Fun World,526628,,INE863E01015,Consumer Durables & Retail,Leisure Services,Amusement Parks/ Other Recreation
Akanksha Power,,AKANKSHA,INE0PCY01014,Industrials,Electrical Equipment,Other Electrical Equipment
Akar Auto Indust,530621,,INE864E01021,Automobile,Auto Components,Auto Components & Equipments
Akash InfraProj.,,AKASH,INE737W01013,Construction & Infrastructure,Construction,Civil Construction
AKG Exim,,AKG,INE00Y801016,Industrials,Commercial Services & Supplies,Trading & Distributors
AKI India,542020,AKI,INE642Z01026,Consumer Durables & Retail,Consumer Durables,Leather And Leather Products
Akiko,,AKIKO,INE0PMR01017,Financial Services,Finance,Other Financial Services
Akme Fintrade,544200,AFIL,INE916Y01027,Financial Services,Finance,Non Banking Financial Company (NBFC)
Aksh Optifibre,532351,AKSHOPTFBR,INE523B01011,Telecom,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Akshar Spintex,541303,AKSHAR,INE256Z01025,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
AksharChem (I),524598,AKSHARCHEM,INE542B01011,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
Akums Drugs,544222,AKUMS,INE09XN01023,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Akzo Nobel,500710,AKZOINDIA,INE133A01011,Consumer Durables & Retail,Consumer Durables,Paints
Alacrity Sec.,535916,,INE030P01017,Financial Services,Finance,Other Financial Services
Alan Scott Ente.,539115,,INE273F01022,Media & Entertainment,Entertainment,"Film Production, Distribution & Exhibition"
Alankit,531082,ALANKIT,INE914E01040,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Albert David,524075,ALBERTDAVD,INE155C01010,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alchemist Corp.,531409,,INE057D01016,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Alcokraft Dist.,,ALCODIS,INE448V01019,FMCG (Consumer Staples),Beverages,Breweries & Distilleries
Alembic,506235,ALEMBICLTD,INE426A01027,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Alembic Pharma,533573,APLLTD,INE901L01018,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alexander Stamps,511463,,INE191N01012,Miscellaneous,Diversified,Diversified
Alfa Ica (I),530973,,INE042C01010,Industrials,Industrial Products,Plastic Products - Industrial
Alfa Transformer,517546,,INE209C01015,Industrials,Electrical Equipment,Other Electrical Equipment
Alfavision Overs,531156,,INE883B01027,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
Alfred Herbert,505216,,INE782D01027,Financial Services,Finance,Non Banking Financial Company (NBFC)
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Financial Services,Finance,Other Financial Services
Alicon Cast.,531147,ALICON,INE062D01024,Automobile,Auto Components,Auto Components & Equipments
Alivus Life,543322,ALIVUS,INE03Q201024,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alka India,530889,,INE061B01038,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Alkali Metals,533029,ALKALI,INE773I01017,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
